,question,Summary,answer
529,cocktail party algorithm SVD implementation ... in one line of code?,"In a slide within the introductory lecture on machine learning by Stanford's Andrew Ng at Coursera, he gives the following one line Octave solution to the cocktail party problem given the audio ...","I have vague memories of this lecture, but can't remember what x is; is it the spectrogram of the waveform, or what?"
530,reading v 7.3 mat file in python,I am trying to read a matlab file with the following code import scipy.io mat = scipy.io.loadmat('test.mat') and it gives me the following error raise NotImplementedError('Please use HDF reader for ...,related to: stackoverflow.com/q/874461/1714410
531,How do I iterate through each element in an n-dimensional matrix in MATLAB?,"I have a problem. I need to iterate through every element in an n-dimensional matrix in MATLAB. The problem is, I don't know how to do this for an arbitrary number of dimensions. I know I can say for ...","Matlab terminology note: Matlab has a small number of core data types. The most important are: struct, matrix, and cell array. When referring to parts of a matrix, it's common to use the term ""element"", and reserve the term ""cell"" to refer to parts of a cell array. Cell arrays and matrices have numerous syntactic and semantic differences, even though both are N-dimensional data structures."
532,Why/when should I prefer MATLAB over Octave?,"In our shoestring operation we need to prototype algorithms in some higher-level language before committing to a C implementation on embedded hardware. So far we have been using MATLAB to do that, ...",You should consider the costs of migrating and training.
533,"In MATLAB, can I have a script and a function definition in the same file?","Suppose I have a function f() and I want to use it in my_file.m, which is a script. Is it possible to have the function defined in my_file.m? If not, suppose I have it defined in f.m. How do I call ...",Note that you can put functions in scripts in Octave.
534,How to concat string + i?,for i=1:N f(i) = 'f'+i; end gives an error in MatLab. What's the correct syntax to initialize an array with N strings of the pattern fi? It seems like even this is not working: for i=1:4 f(i) =...,Exactly what do you want the array f to look like? A single string with all of the individual fi strings concatenated together? A character array with one string per row? A cell array ?
535,MatLab error: cannot open with static TLS,"Since a couple of days, I constantly receive the same error while using MATLAB which happens at some point with dlopen. I am pretty new to MATLAB, and that is why I don't know what to do. Google doesn'...",What os do you use? Can you share some source code?
536,LNK2038: mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in file.obj,"I am Integrating Matlab, C and Cuda together in a project. I used Matlab mix in order to connect matlab mx function written in c with the cuda runtime library, a linking error appear about conflict in ...",This didn't fix the error for Severity Code Description Project File Line Suppression State Error LNK2038 mismatch detected for 'RuntimeLibrary': value 'MD_DynamicRelease' doesn't match value 'MT_StaticRelease' in Calibration.obj OpenARK-SDK C:\OpenARK\OpenARK-SDK\libboost_system-vc140-mt-1_61.lib(error_code.obj) 1
537,Changing Fonts Size in Matlab Plots,"I want to change Font Size for xlabel, ylabel, axis size, legend font size a.k.a everything at once, is this possible? By default, font is Helvetica 10. Is there way to change this? I want to ...",How would one modify this to include the font type for the numbers on the axes?
538,Call Python function from MATLAB,I need to call a Python function from MATLAB. how can I do this?,Does MATLAB have support for sockets?
539,How to change the window title of a MATLAB plotting figure?,I have created a MATLAB plotting with the plot() function. How do I change the window title of the generated figure of the plotting? My MATLAB m-file which I'm working on: hold on x = [0; 0.2; 0.4; ...,By the way: It may be more convenient to define x as 0:0.2:18.8 and y as sin(x).
540,Octave/Matlab: Adding new elements to a vector,Having a vector x and I have to add an element (newElem) . Is there any difference between - x(end+1) = newElem; and x = [x newElem]; ?,"Also for the second method, x must be initialized first!"
